0,1,2,3,4,5,6,7,8,9,10
Synder,Michael Astreiko,"Starting in the eCommerce domain, during the last 7 years moved to the FinTech sphere and with the main focus on online sales, accounting & bookkeeping, and business automation delivering various solutions that are successfully serving thousands of businesses around the globe.

Loving husband and father of 3 children with a lot of attention paid to fathers’ duties and family activities. Love sports and tennis&squash in particular.",Ilya Kisel,"Ilya has the background in the e-commerce sales (has been occupied in the e-commerce sphere for 7+ years). The main responsibility in Synder includes partnership development, marketing&sales strategy defining, and the connection of daily operations of the company into one aligned mechanism. If you have any ideas on potential collaboration, Ilya is the best person to drop a message (in LinkedIn or email) and start a good, productive conversation.",,,,,,
Café,Arthur Lorotte de Banes,"DevOps, then Cloud Solutions Architect now turned entrepreneur with my little brother",Tom Nguyen,"Building the future of Hybrid work with my brother.
Previous founder of ASKIP (mobile consumer apps for teens)",,,,,,
OneShop,Albert Chuang,Co-Founder/CEO at OneShop,Aaron Evans,"Co-Founder/CTO @ OneShop, YC S21",,,,,,
FirstIgnite,Chase Bonhag,Former VC investor in university research (Illinois Ventures) and corporate innovation (TechNexus). Very focused on making it easy for the scientific community to connect.,Cody Pawlowski,Tech generalist dedicated to helping life-changing technologies get to market.,,,,,,
LabSimply,Anurup Ganguli,"Anurup Ganguli, PhD is a Scientist and biomedical engineer with deep expertise in developing medical devices and translational clinical diagnostic platforms. He has over 20 publications and over 9 patents filed with many of his platforms featuring in journals like Nature communications, Science Advances, PNAS, and Advanced Functional materials.",,,,,,,,
Talentdrop,Madeleine Nguyen,"From SF, played golf for and studied Classics at Georgetown in DC, went to Wash U (St. Louis) for law school - hey, it was a recession - became interested in employment law which led to networking with HR and Recruiting people. Because it was SF, they were at tech startups. Caught the bug and jumped careers. Started at a firm (Riviera) then went in house to Instacart, Snapchat, and Uber. Left to push recruiting to evolve (Talentdrop).",Janelle Tiulentino,"Hi everyone! Really excited to be here, and to meet you! Maddy and I were colleagues at Snap before joining up to work on Talentdrop. 
I'm a California native and have never lived elsewhere, though I would love to at some point. I tend to binge eat popcorn, I laugh a little too loudly, and am a helicopter mom to my cat.",,,,,,
Stack,Yashwardhan Pauranik,"CPO, Stack Finance",Smriti Tomar,"As founder and CEO at Stack Finance, Smriti strives to make financial planning accessible and affordable for India's 440 million millennials (who contribute to 70% of the household income) to achieve financial security and freedom. 
Prior to this venture, she has worked as a data analyst at EXL services, focused in overseas finance and banking industry, particularly Citibank, Latin America.",Vidit Varshney,"Leading strategy, alliances and operations at Stack Finance. Previously management consultant, enjoys exploring innovation and motorcycling.",Tushar Vyas,,,
GamerPay,Rasmus Andersen,CTO at GamerPay. Has been working with marketplaces for the last 7 years. Build one of the most popular danish secondhand fashion marketplaces.,Morten Byskov,"Co-founder @ GamerPay and Product Lead. 
I love winning, especially peoples hearts. I'm double black belt in Karate, I never quit and I'm always on the lookout for that next challenge. My career consist of 5 years as a broker @ Maersk, 2 years as a PO @ SumUp along with a few startup failures. I'm also graduate of YC's first online Startup School (2017). Winner of Net’s Fintech Challenge, and winner of Startup Weekend. 

All this has lead to you reading these lines.",Peter Haldbæk,"Co-founder at GamerPay.

More than 20 years of development experience ranging from traditional web applications, backend development, fat desktop clients and native mobile apps in both corporate and startup settings.

Industry experience ranges from banking, shipping and the public sector to marketplaces in the startup space along with consulting jobs as a contractor.",Mathias Hermansen,Co-founder & CEO of GamerPay. Been working on marketplaces since 2013 covering various business & Product mgmt roles. Held roles as COO and most recently as CPO building Denmarks largest transactional marketplace going from 0 til 35 mio USD GMV.,Martin Lykke Suhr,"Generalist, coder, head of growth, paid marketing - Co-founder of GamerPay, ex. ultrarunner, farther of two.

Previously co-founded Denmarks largest transactional marketplace Trendsales. Grew it from 0 to 1 mio. users and a GMV north of 35mill dollars."
Sitenna,Daniel Campion,"I've worked in the telecoms industry for over 12 years specialising in strategy, M&A, spectrum auctions and network sharing. Working for Orange Group, Aetha Consulting and KPMG, I have helped clients in over 30 countries supporting over £70bn in transactions. I've also founded businesses in the consulting and esports, and was a board member of a software business that was acquired in 2021.",Brian Sexton,"I have over 15 years experience as a technical consultant with BAE systems,
Ericsson and Norkom. I specialize in the development of technology platform
and machine learning algorithms, implementing complex systems for private and
public clients around the world. Recently I have led the engineering teams for a
number of start-ups",,,,,,
Luminate Medical,Aaron Hannon,"Co-Founder and CEO of Luminate Medical. Software and electronic engineer with a passion for medical devices and a better citizen experience of medicine. Thiel Fellowship, Class of 2020.",Barbara Oliveira,"Co-Founder and Clinical Lead of Luminate Medical, a start up medical device company based in Galway, Ireland working on empowering patients during their cancer & chemotherapy journey. Biomedical Engineer by background, with experience in leading first-in-human medical device clinical trials, and a passion for quality of life applications of medicine!",,,,,,
